,precision,recall,f1-score,support
0,1.0,0.96875,0.9841269841269841,32.0
1,0.9825174825174825,0.9825174825174825,0.9825174825174825,286.0
2,0.9928571428571429,0.9455782312925171,0.9686411149825784,294.0
3,0.9700854700854701,0.9659574468085106,0.9680170575692963,235.0
4,0.974169741697417,0.9850746268656716,0.9795918367346939,268.0
5,0.8955823293172691,0.9780701754385965,0.9350104821802936,228.0
6,1.0,0.9814814814814815,0.9906542056074767,54.0
7,0.9766081871345029,0.912568306010929,0.943502824858757,183.0
8,0.961352657004831,0.9851485148514851,0.9731051344743277,202.0
9,0.9898477157360406,0.9898477157360406,0.9898477157360406,197.0
10,1.0,0.9884615384615385,0.9941972920696325,260.0
11,1.0,0.9666666666666667,0.983050847457627,180.0
12,0.9965034965034965,1.0,0.9982486865148862,285.0
13,0.9900662251655629,1.0,0.9950083194675541,299.0
14,1.0,0.9902912621359223,0.9951219512195122,103.0
15,0.956989247311828,1.0,0.978021978021978,89.0
16,1.0,1.0,1.0,48.0
17,0.994413407821229,1.0,0.9971988795518207,178.0
18,0.9824561403508771,0.9824561403508771,0.9824561403508771,171.0
19,1.0,0.9354838709677419,0.9666666666666666,31.0
20,1.0,0.9791666666666666,0.9894736842105264,48.0
21,0.9565217391304348,1.0,0.9777777777777777,44.0
22,1.0,1.0,1.0,59.0
23,1.0,0.972972972972973,0.9863013698630138,74.0
24,0.9545454545454546,1.0,0.9767441860465117,42.0
25,0.9809523809523809,1.0,0.9903846153846153,206.0
26,0.9647058823529412,0.9761904761904762,0.9704142011834319,84.0
27,0.9444444444444444,1.0,0.9714285714285714,34.0
28,1.0,1.0,1.0,65.0
29,1.0,0.9117647058823529,0.9538461538461539,34.0
30,0.9841269841269841,0.9841269841269841,0.9841269841269841,63.0
31,0.9906542056074766,0.9906542056074766,0.9906542056074766,107.0
32,0.9411764705882353,0.8888888888888888,0.9142857142857143,36.0
33,0.9887640449438202,1.0,0.9943502824858756,88.0
34,1.0,1.0,1.0,47.0
35,1.0,0.9935897435897436,0.9967845659163987,156.0
36,0.9722222222222222,1.0,0.9859154929577464,35.0
37,1.0,1.0,1.0,17.0
38,1.0,1.0,1.0,296.0
39,1.0,1.0,1.0,49.0
40,1.0,1.0,1.0,44.0
41,1.0,0.972972972972973,0.9863013698630138,37.0
42,1.0,1.0,1.0,40.0
accuracy,0.9827327327327328,0.9827327327327328,0.9827327327327328,0.9827327327327328
macro avg,0.9846875133120359,0.982062350615907,0.9831110412812161,5328.0
weighted avg,0.9832180250961823,0.9827327327327328,0.9827490832392182,5328.0
