,precision,recall,f1-score,support
0,0.9444444444444444,0.53125,0.6799999999999999,32.0
1,0.9437086092715232,0.9965034965034965,0.9693877551020409,286.0
2,0.9965034965034965,0.9693877551020408,0.9827586206896551,294.0
3,0.9868995633187773,0.9617021276595744,0.9741379310344828,235.0
4,1.0,0.996268656716418,0.9981308411214954,268.0
5,0.9451476793248945,0.9824561403508771,0.9634408602150537,228.0
6,1.0,1.0,1.0,54.0
7,0.9640718562874252,0.8797814207650273,0.92,183.0
8,0.9032258064516129,0.9702970297029703,0.9355608591885441,202.0
9,0.9949238578680203,0.9949238578680203,0.9949238578680203,197.0
10,0.9961538461538462,0.9961538461538462,0.9961538461538462,260.0
11,1.0,0.9833333333333333,0.9915966386554621,180.0
12,1.0,1.0,1.0,285.0
13,0.9966666666666667,1.0,0.9983305509181971,299.0
14,0.9902912621359223,0.9902912621359223,0.9902912621359223,103.0
15,0.9888888888888889,1.0,0.9944134078212291,89.0
16,0.9795918367346939,1.0,0.9896907216494846,48.0
17,0.994413407821229,1.0,0.9971988795518207,178.0
18,0.9941860465116279,1.0,0.9970845481049563,171.0
19,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
20,0.9583333333333334,0.9583333333333334,0.9583333333333334,48.0
21,1.0,1.0,1.0,44.0
22,1.0,1.0,1.0,59.0
23,1.0,0.972972972972973,0.9863013698630138,74.0
24,0.9767441860465116,1.0,0.988235294117647,42.0
25,1.0,0.9902912621359223,0.9951219512195122,206.0
26,1.0,0.9880952380952381,0.9940119760479043,84.0
27,0.9714285714285714,1.0,0.9855072463768115,34.0
28,0.9701492537313433,1.0,0.9848484848484849,65.0
29,1.0,1.0,1.0,34.0
30,0.967741935483871,0.9523809523809523,0.96,63.0
31,0.963963963963964,1.0,0.9816513761467891,107.0
32,0.972972972972973,1.0,0.9863013698630138,36.0
33,1.0,1.0,1.0,88.0
34,1.0,1.0,1.0,47.0
35,0.9936305732484076,1.0,0.9968051118210862,156.0
36,0.9722222222222222,1.0,0.9859154929577464,35.0
37,0.9444444444444444,1.0,0.9714285714285714,17.0
38,1.0,0.9966216216216216,0.9983079526226735,296.0
39,1.0,1.0,1.0,49.0
40,1.0,0.9772727272727273,0.9885057471264368,44.0
41,0.9722222222222222,0.9459459459459459,0.9589041095890412,37.0
42,0.975,0.975,0.975,40.0
accuracy,0.9831081081081081,0.9831081081081081,0.9831081081081081,0.9831081081081081
macro avg,0.9812431353127598,0.9754592290934413,0.9768317171753494,5328.0
weighted avg,0.983435691308769,0.9831081081081081,0.9827121429575892,5328.0
